Designator,Footprint,Quantity,Value,LCSC Part #
BUZ1,BUZ-SMD_L9.0-W9.0_PKMCS0909E4000-R1,1,PKMCS0909E4000-R1,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C33, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C84, C85, C86, C87, C88, C9",0402,81,100nF,C1525
"C31, C32",0402,2,1uF,C52923
"C34, C35",0402,2,15pF,C1548
"C81, C82, C83",0402,3,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D8, D9",LED-SMD_4P-L1.4-W1.4-TL,72,SK6805-EC14,C2909055
J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R1, R2",0805,2,27R,C17561
R3,0402,1,220,C25091
"R4, R5",0402,2,1k,C11702
"R41, R42",0402,2,5k1,C25905
"SW1, SW10, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,10,SW_MEC_5G,C318884
"SW11, SW12",SW-SMD_TS24CA,2,SW_MEC_5G,C393942
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVS,C97521
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-223-3_TabPin2,1,NCP1117-3.3,C6186
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
